time,x,y,z
121.47,-2.063615393579476e-05,5.209251862855903e-05,-0.001001701385458454
121.504,-2.063862092634757e-05,5.210719389099798e-05,-0.001001701385511214
121.537,-2.0641015371526163e-05,5.212143758533942e-05,-0.001001701385562423
121.566,-2.064340982966574e-05,5.213568133602319e-05,-0.0010017013856136493
121.604,-2.06458768607083e-05,5.2150356774493263e-05,-0.0010017013856664023
121.637,-2.0648271345180113e-05,5.216460063964522e-05,-0.0010017013857176148
121.67,-2.0650665842619417e-05,5.217884456116989e-05,-0.0010017013857688273
121.704,-2.065313291415606e-05,5.2193520175681046e-05,-0.001001701385821608
121.737,-2.0655527437924998e-05,5.220776421166808e-05,-0.001001701385872817
121.77,-2.065792197466533e-05,5.222200830404703e-05,-0.0010017013859240295
121.804,-2.066038908669172e-05,5.2236684094579445e-05,-0.001001701385976779
121.837,-2.066278364975735e-05,5.225092830139415e-05,-0.0010017013860280088
121.87,-2.066517822579871e-05,5.2265172564627805e-05,-0.0010017013860792179
121.904,-2.0667645378309642e-05,5.227984853114539e-05,-0.0010017013861320055
121.937,-2.0670039980681936e-05,5.22940929088516e-05,-0.0010017013861832146
121.97,-2.0672434596022155e-05,5.2308337342925256e-05,-0.0010017013862344444
122.004,-2.0674901789028907e-05,5.232301348547956e-05,-0.0010017013862871939
122.037,-2.067729643070353e-05,5.2337258034046e-05,-0.0010017013863384237
122.07,-2.067969108534044e-05,5.2351502638948645e-05,-0.0010017013863896397
122.104,-2.0682158318839974e-05,5.2366178957546305e-05,-0.0010017013864424135
122.137,-2.068455299981389e-05,5.2380423676946563e-05,-0.0010017013864936294
122.17,-2.0686947693753996e-05,5.239466845270362e-05,-0.001001701386544842
122.204,-2.0689414967746747e-05,5.2409344947332883e-05,-0.001001701386597633
122.237,-2.0691809688017787e-05,5.242358983755121e-05,-0.001001701386648842
122.27,-2.0694204421264125e-05,5.243783478418685e-05,-0.0010017013867000754
122.304,-2.0696671735749225e-05,5.2452511454832315e-05,-0.0010017013867528353
122.337,-2.0699066495327365e-05,5.2466756515934494e-05,-0.001001701386804079
122.37,-2.0701461267877332e-05,5.248100163342138e-05,-0.0010017013868552915
122.404,-2.0703928622852613e-05,5.2495678480077864e-05,-0.0010017013869080653
122.437,-2.070632342173655e-05,5.250992371205532e-05,-0.0010017013869592986
122.47,-2.070871823358668e-05,5.252416900038037e-05,-0.0010017013870105076
122.504,-2.0711185629061248e-05,5.253884602309895e-05,-0.0010017013870632883
