time,x,y,z
11.937,-1.2759643479623092e-05,5.124998480013758e-06,-0.0010017012174177893
11.97,-1.276199522612289e-05,5.139055765052139e-06,-0.001001701217467968
12.005,-1.276441825103598e-05,5.153539087088426e-06,-0.0010017012175196835
12.038,-1.2766770023469893e-05,5.167596485896039e-06,-0.0010017012175698795
12.07,-1.276912180868655e-05,5.18165394079971e-06,-0.0010017012176200789
12.104,-1.2771544873475295e-05,5.196137437739209e-06,-0.0010017012176717736
12.137,-1.27738966846252e-05,5.210195006397641e-06,-0.00100170121772198
12.17,-1.2776248508548308e-05,5.2242526310833615e-06,-0.0010017012177721725
12.204,-1.277867161322355e-05,5.2387363030098845e-06,-0.0010017012178238777
12.237,-1.2781023463078172e-05,5.2527940414498615e-06,-0.0010017012178740806
12.27,-1.2783375325715971e-05,5.266851835989462e-06,-0.001001701217924287
12.304,-1.2785798470276409e-05,5.281335682876099e-06,-0.0010017012179759886
12.337,-1.278815035885613e-05,5.2953935912201975e-06,-0.0010017012180261915
12.37,-1.2790502260205151e-05,5.309451555562529e-06,-0.0010017012180763944
12.404,-1.2792925444653387e-05,5.323935577429176e-06,-0.0010017012181280996
12.437,-1.2795277371939126e-05,5.337993655552544e-06,-0.001001701218178306
12.47,-1.2797629312004139e-05,5.352051789751862e-06,-0.0010017012182285123
12.504,-1.280005253634104e-05,5.3665359866078386e-06,-0.001001701218280214
12.537,-1.2802404502343205e-05,5.380594234574065e-06,-0.0010017012183304273
12.57,-1.2804756481119874e-05,5.394652538571229e-06,-0.0010017012183806163
12.604,-1.280717974534197e-05,5.409136910398822e-06,-0.0010017012184323493
12.637,-1.280953175005796e-05,5.4231953281917835e-06,-0.0010017012184825418
12.67,-1.2811883767556258e-05,5.437253802057322e-06,-0.0010017012185327481
12.704,-1.2814307071669622e-05,5.451738348871199e-06,-0.0010017012185844637
12.737,-1.2816659115105506e-05,5.465796936507858e-06,-0.0010017012186346631
12.77,-1.2819011171312858e-05,5.479855580165786e-06,-0.0010017012186848834
12.804,-1.2821434515317056e-05,5.4943403019678804e-06,-0.001001701218736592
12.837,-1.2823786597462427e-05,5.508399059424798e-06,-0.001001701218786795
12.87,-1.2826138692391843e-05,5.522457872948852e-06,-0.0010017012188370013
12.904,-1.2828562076282104e-05,5.536942769718597e-06,-0.0010017012188887203
12.937,-1.283091419714737e-05,5.551001697007371e-06,-0.0010017012189389198
12.97,-1.2833266330786706e-05,5.565060680329718e-06,-0.0010017012189891365
13.004,-1.2835689754572138e-05,5.579545752102029e-06,-0.001001701219040866
13.038,-1.2838041914154698e-05,5.593604849235971e-06,-0.0010017012190910723
13.07,-1.2840394086514797e-05,5.607664002415367e-06,-0.0010017012191412822
