time,x,y,z,theta
62.203,-1.6356760045714656e-05,2.6602634495431974e-05,-0.0010017012940901973,0.00041259909694905955
62.236,-1.6359131297231412e-05,2.661677713564143e-05,-0.0010017012941406743,0.0004128226190762393
62.269,-1.6361502561584255e-05,2.663091983189116e-05,-0.001001701294191179,0.0004130461420974835
62.303,-1.636394569585163e-05,2.6645491153258363e-05,-0.0010017012942432138,0.00041327643947798934
62.336,-1.636631698627303e-05,2.6659633963313296e-05,-0.0010017012942936977,0.00041349996431485757
62.369,-1.6368688289537022e-05,2.6673776829443745e-05,-0.0010017012943442025,0.0004137234900463254
62.403,-1.637113146389429e-05,2.6688348325840088e-05,-0.0010017012943962407,0.0004139537902191897
62.436,-1.637350279322467e-05,2.6702491305766567e-05,-0.001001701294446728,0.0004141773177661436
62.469,-1.637587413539721e-05,2.6716634341769203e-05,-0.0010017012944972259,0.00041440084620770595
62.503,-1.637831734984177e-05,2.6731206013174448e-05,-0.0010017012945492537,0.00041463114917262634
62.536,-1.6380688718078528e-05,2.6745349162958267e-05,-0.0010017012945997585,0.00041485467942945246
62.569,-1.6383060099162215e-05,2.6759492368832133e-05,-0.0010017012946502597,0.0004150782105810984
62.603,-1.6385503353697536e-05,2.6774064215261985e-05,-0.0010017012947022945,0.000415308516338314
62.636,-1.638787476084284e-05,2.6788207534907664e-05,-0.0010017012947528027,0.0004155320493050836
62.669,-1.6390246180835073e-05,2.680235091065068e-05,-0.0010017012948033005,0.0004157555831667851
62.703,-1.6392689475466793e-05,2.681692293214032e-05,-0.0010017012948553422,0.0004159858917168316
62.736,-1.6395060921522812e-05,2.6831066421647175e-05,-0.0010017012949058261,0.0004162094273935359
62.769,-1.6397432380428362e-05,2.6845209967274786e-05,-0.0010017012949563447,0.00041643296396552833
62.803,-1.6399875715150843e-05,2.6859782163793567e-05,-0.0010017012950083795,0.0004166632753079438
62.836,-1.6402247200115842e-05,2.6873925823163588e-05,-0.0010017012950588843,0.00041688681369461597
62.869,-1.640461869792994e-05,2.688806953864302e-05,-0.0010017012951093751,0.00041711035297640526
62.903,-1.640706207274448e-05,2.6902641910186634e-05,-0.0010017012951614168,0.00041734066711112745
62.936,-1.6409433596616292e-05,2.6916785739409475e-05,-0.001001701295211918,0.0004175642082076141
62.969,-1.6411805133339803e-05,2.6930929624744904e-05,-0.0010017012952624402,0.0004177877501992656
63.003,-1.6414248548247707e-05,2.6945502171344994e-05,-0.001001701295314475,0.0004180180671267761
63.036,-1.641662011103804e-05,2.6959646170472293e-05,-0.0010017012953649797,0.0004182416109338608
63.069,-1.6418991686673566e-05,2.6973790225682735e-05,-0.0010017012954154844,0.0004184651556356649
63.102,-1.6421435141675267e-05,2.698836294730343e-05,-0.0010017012954675261,0.00041869547535542247
63.136,-1.6423806743381952e-05,2.70025071163237e-05,-0.0010017012955180343,0.0004189190218729348
63.165,-1.6426178357929495e-05,2.701665134139398e-05,-0.001001701295568539,0.00041914256928466434
63.203,-1.6428621853020655e-05,2.7031224238037843e-05,-0.0010017012956205912,0.0004193728917967108
63.236,-1.6430993493644994e-05,2.7045368576973405e-05,-0.0010017012956710994,0.0004195964410249892
